purchase_year,purchase_month,purchase_month_name,total_revenue,total_orders,avg_order_value,avg_review_score
2016,9,Sep,134.97,1,,1.0
2016,10,Oct,40325.11,265,197.27456869009586,3.899676375404531
2016,12,Dec,10.9,1,19.62,5.0
2017,1,Jan,111798.36,750,193.30940854326394,4.156699889258029
2017,2,Feb,234223.4,1653,175.34050592034444,4.178030303030303
2017,3,Mar,359198.85,2546,174.57225750776666,4.135619777158774
2017,4,Apr,340669.68,2303,177.54313740755157,4.1003913894324855
2017,5,May,489338.25,3546,175.15324675324675,4.204659949622166
2017,6,Jun,421923.37,3135,167.78474634565777,4.189953810623557
2017,7,Jul,481604.52,3872,162.15352807971013,4.1878898524265935
2017,8,Aug,554699.7,4193,175.67019804044193,4.280999578237031
2017,9,Sep,607399.67,4150,210.31868059953555,4.184495959166312
2017,10,Oct,648247.65,4478,191.52466820099733,4.109928391716664
2017,11,Nov,987765.37,7289,182.73542064896753,3.8953723530811324
2017,12,Dec,726033.1900000001,5513,164.8726781962179,4.011926155856886
2018,1,Jan,924645.0,7069,170.96727883538634,4.001819550759192
2018,2,Feb,826437.13,6555,170.25411678637934,3.77822508498837
2018,3,Mar,953356.25,7003,179.05180616190597,3.745568824638592
2018,4,Apr,973534.09,6798,187.3779417401303,4.114993564993565
2018,5,May,977544.6900000001,6749,189.586119078105,4.164178143905264
2018,6,Jun,856077.86,6099,183.44167047075607,4.211469534050179
2018,7,Jul,867953.46,6159,187.73921872755994,4.274107271938702
2018,8,Aug,838576.64,6351,169.59396387566508,4.247611688676595
